[INFO ] [2022-07-20 00:14:01,924] Pre-condition - Step 1: Click on My Account Link
[INFO ] [2022-07-20 00:14:03,173] Pre-condition - Step 2: Login by Cookie
[INFO ] [2022-07-20 00:14:07,363] Edit account Information - Step 1: Open Account information page
[INFO ] [2022-07-20 00:14:08,313] Edit account Information - Step 2: Edit first name textbox
[INFO ] [2022-07-20 00:14:08,366] Edit account Information - Step 3: Edit last name textbox
[INFO ] [2022-07-20 00:14:08,395] Edit account Information - Step 4: Input into current password textbox
[INFO ] [2022-07-20 00:14:08,419] Edit account Information - Step 5: Click on save button
[INFO ] [2022-07-20 00:14:09,563] Edit account Information - Step 6: Verify Success message
[INFO ] [2022-07-20 00:14:09,585]  -------------------------- PASSED -------------------------- 
